dataset_id_1,column_name_1,dataset_id_2,column_name_2,score,method
ic3t-wcy2,,cwy2-px8b,,0.8156,embedding
ic3t-wcy2,,m8p6-tp4b,,0.7598,embedding
ic3t-wcy2,,9z9b-6hvk,,0.8352,embedding
ic3t-wcy2,,xw3j-2yxf,,0.8011,embedding
ic3t-wcy2,,dy27-rrad,,0.8006,embedding
ic3t-wcy2,,ibs4-k445,,0.8041,embedding
ic3t-wcy2,,cm6g-t7ye,,0.7844,embedding
ic3t-wcy2,,nk7g-qeep,,0.7926,embedding
ic3t-wcy2,,6anw-twe4,,0.8488,embedding
ic3t-wcy2,,8kuj-2n3u,,0.7814,embedding
ic3t-wcy2,,f264-qcv3,,0.8216,embedding
ic3t-wcy2,,8fei-z6rz,,0.8107,embedding
ic3t-wcy2,,df32-vzax,,0.7889,embedding
ic3t-wcy2,,weh8-3ujf,,0.7501,embedding
ic3t-wcy2,,bheb-sjfi,,0.8169,embedding
ic3t-wcy2,,gkgs-za6m,,0.805,embedding
ic3t-wcy2,,bf97-mjsy,,0.8341,embedding
ic3t-wcy2,,buk3-3qpr,,0.8246,embedding
ic3t-wcy2,,b4mf-rg6h,,0.7801,embedding
ic3t-wcy2,,3r2x-bnmj,,0.7608,embedding
ic3t-wcy2,,wycc-5aqt,,0.7988,embedding
ic3t-wcy2,,qm5f-frjb,,0.8008,embedding
ic3t-wcy2,,rear-wh5i,,0.8034,embedding
ic3t-wcy2,,i595-2byq,,0.8199,embedding
ic3t-wcy2,,did2-qzw3,,0.7845,embedding
ic3t-wcy2,,itd7-gx3g,,0.7547,embedding
ic3t-wcy2,,im9z-53hg,,0.7937,embedding
ic3t-wcy2,,uzcy-9puk,,0.7813,embedding
ic3t-wcy2,,hyur-qpyf,,0.7721,embedding
ic3t-wcy2,,56u5-n9sa,,0.826,embedding
ic3t-wcy2,,x4ud-jhxu,,0.8365,embedding
ic3t-wcy2,,5694-9szk,,0.8392,embedding
ic3t-wcy2,,edk2-vkjh,,0.7719,embedding
ic3t-wcy2,,w49t-5gha,,0.7893,embedding
ic3t-wcy2,,ghu2-eden,,0.8556,embedding
ic3t-wcy2,,d83i-6us7,,0.8392,embedding
ic3t-wcy2,,mk9u-qu7i,,0.8411,embedding
ic3t-wcy2,,592z-n7dk,,0.7959,embedding
ic3t-wcy2,,5ziv-wcy4,,0.7791,embedding
ic3t-wcy2,,xhvt-s4va,,0.767,embedding
ic3t-wcy2,,exsg-kpya,,0.8096,embedding
ic3t-wcy2,,k65y-fzgq,,0.7895,embedding
ic3t-wcy2,,uxsz-6j5j,,0.8445,embedding
ic3t-wcy2,,48pb-zy2g,,0.7979,embedding
ic3t-wcy2,,feuq-due4,,0.7912,embedding
